Fecha,TipoDePrueba,Plataforma,Usuario,status
24/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
11/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
14/12/2025,MultiplesGrupos,Gatito,Quique,Paso
27/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
01/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
20/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
09/12/2025,MultiplesGrupos,Gatito,Quique,Paso
07/12/2025,MultiplesGrupos,Gatito,Quique,Fallo
04/12/2025,MultiplesGrupos,Gatito,Quique,Paso
27/11/2025,MultiplesGrupos,Joya,NoQuique,Fallo
17/11/2025,MultiplesGrupos,Gatito,Quique,Fallo
08/12/2025,MultiplesGrupos,Gatito,Quique,Paso
03/12/2025,MultiplesGrupos,Gatito,Quique,Fallo
11/12/2025,MultiplesGrupos,Joya,Quique,Paso
10/12/2025,MultiplesGrupos,Gatito,NoQuique,Paso
15/12/2025,MultiplesGrupos,Gatito,NoQuique,Paso
14/12/2025,MultiplesGrupos,Joya,NoQuique,Fallo
15/12/2025,MultiplesGrupos,Joya,Quique,Paso
09/12/2025,MultiplesGrupos,Joya,NoQuique,Fallo
12/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
21/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
05/12/2025,MultiplesGrupos,Joya,Quique,Paso
03/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
17/11/2025,MultiplesGrupos,Joya,Quique,Fallo
16/11/2025,MultiplesGrupos,Gatito,NoQuique,Paso
25/11/2025,MultiplesGrupos,Joya,NoQuique,Fallo
03/12/2025,MultiplesGrupos,Gatito,Quique,Fallo
30/11/2025,MultiplesGrupos,Gatito,NoQuique,Paso
17/11/2025,MultiplesGrupos,Joya,NoQuique,Fallo
29/11/2025,MultiplesGrupos,Joya,NoQuique,Fallo
22/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
21/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
29/11/2025,MultiplesGrupos,Joya,Quique,Paso
03/12/2025,MultiplesGrupos,Joya,Quique,Paso
02/12/2025,MultiplesGrupos,Gatito,Quique,Paso
25/11/2025,MultiplesGrupos,Joya,Quique,Paso
12/12/2025,MultiplesGrupos,Joya,Quique,Fallo
15/12/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
29/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
07/12/2025,MultiplesGrupos,Gatito,NoQuique,Paso
15/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
10/12/2025,MultiplesGrupos,Joya,Quique,Paso
21/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
09/12/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
21/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
07/12/2025,MultiplesGrupos,Gatito,Quique,Fallo
23/11/2025,MultiplesGrupos,Gatito,NoQuique,Paso
20/11/2025,MultiplesGrupos,Gatito,Quique,Paso
25/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
08/12/2025,MultiplesGrupos,Joya,Quique,Paso
05/12/2025,MultiplesGrupos,Joya,NoQuique,Fallo
08/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
08/12/2025,MultiplesGrupos,Joya,Quique,Paso
20/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
04/12/2025,MultiplesGrupos,Joya,Quique,Fallo
07/12/2025,MultiplesGrupos,Joya,Quique,Paso
23/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
10/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
16/11/2025,MultiplesGrupos,Gatito,Quique,Fallo
25/11/2025,MultiplesGrupos,Joya,NoQuique,Fallo
30/11/2025,MultiplesGrupos,Gatito,Quique,Paso
14/12/2025,MultiplesGrupos,Joya,Quique,Paso
23/11/2025,MultiplesGrupos,Joya,Quique,Paso
14/12/2025,MultiplesGrupos,Gatito,Quique,Paso
17/11/2025,MultiplesGrupos,Joya,NoQuique,Paso
18/11/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
22/11/2025,MultiplesGrupos,Gatito,Quique,Paso
11/12/2025,MultiplesGrupos,Gatito,NoQuique,Fallo
07/12/2025,MultiplesGrupos,Joya,Quique,Paso
09/12/2025,MultiplesGrupos,Gatito,Quique,Paso
07/12/2025,MultiplesGrupos,Gatito,Quique,Paso
08/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
29/11/2025,MultiplesGrupos,Joya,Quique,Paso
23/11/2025,MultiplesGrupos,Gatito,Quique,Paso
24/11/2025,MultiplesGrupos,Joya,Quique,Paso
04/12/2025,MultiplesGrupos,Joya,Quique,Paso
18/11/2025,MultiplesGrupos,Gatito,Quique,Paso
08/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
15/12/2025,MultiplesGrupos,Joya,Quique,Fallo
02/12/2025,MultiplesGrupos,Joya,Quique,Fallo
23/11/2025,MultiplesGrupos,Gatito,Quique,Fallo
18/11/2025,MultiplesGrupos,Joya,Quique,Fallo
04/12/2025,MultiplesGrupos,Gatito,Quique,Paso
15/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
10/12/2025,MultiplesGrupos,Joya,Quique,Paso
08/12/2025,MultiplesGrupos,Joya,NoQuique,Paso
28/11/2025,MultiplesGrupos,Gatito,Quique,Paso
16/11/2025,MultiplesGrupos,Gatito,Quique,Paso
26/11/2025,Confianza,Gatito,Quique,Paso
02/12/2025,Confianza,Joya,NoQuique,Fallo
12/12/2025,Confianza,Joya,NoQuique,Fallo
04/12/2025,Confianza,Joya,Quique,Paso
04/12/2025,Confianza,Joya,Quique,Fallo
26/11/2025,Confianza,Joya,NoQuique,Paso
19/11/2025,Confianza,Joya,NoQuique,Paso
21/11/2025,Confianza,Joya,NoQuique,Paso
04/12/2025,Confianza,Gatito,NoQuique,Paso
03/12/2025,Confianza,Gatito,Quique,Fallo
16/11/2025,Confianza,Joya,Quique,Paso
11/12/2025,Confianza,Gatito,Quique,Paso
02/12/2025,Confianza,Joya,Quique,Paso
20/11/2025,Confianza,Joya,NoQuique,Fallo
01/12/2025,Confianza,Joya,Quique,Paso
06/12/2025,Confianza,Gatito,NoQuique,Paso
18/11/2025,Confianza,Joya,Quique,Paso
07/12/2025,Confianza,Joya,NoQuique,Paso
17/11/2025,Confianza,Gatito,NoQuique,Paso
06/12/2025,Confianza,Joya,NoQuique,Fallo
29/11/2025,Confianza,Joya,Quique,Paso
04/12/2025,Confianza,Gatito,NoQuique,Paso
27/11/2025,Confianza,Joya,NoQuique,Fallo
09/12/2025,Confianza,Joya,Quique,Fallo
24/11/2025,Confianza,Gatito,Quique,Paso
13/12/2025,Confianza,Gatito,Quique,Paso
10/12/2025,Confianza,Gatito,NoQuique,Paso
21/11/2025,Confianza,Gatito,NoQuique,Paso
11/12/2025,Confianza,Joya,NoQuique,Fallo
23/11/2025,Confianza,Gatito,Quique,Fallo
09/12/2025,Confianza,Gatito,NoQuique,Fallo
16/11/2025,Confianza,Joya,Quique,Paso
27/11/2025,Confianza,Gatito,NoQuique,Paso
30/11/2025,Confianza,Joya,Quique,Fallo
01/12/2025,Confianza,Joya,Quique,Paso
11/12/2025,Confianza,Gatito,Quique,Fallo
05/12/2025,Confianza,Gatito,Quique,Paso
07/12/2025,Confianza,Joya,Quique,Paso
08/12/2025,Confianza,Joya,NoQuique,Paso
04/12/2025,Confianza,Joya,NoQuique,Fallo
16/11/2025,Confianza,Joya,NoQuique,Paso
25/11/2025,Confianza,Joya,NoQuique,Paso
04/12/2025,Confianza,Gatito,Quique,Paso
08/12/2025,Confianza,Gatito,NoQuique,Fallo
28/11/2025,Confianza,Gatito,Quique,Paso
29/11/2025,Confianza,Joya,Quique,Fallo
19/11/2025,Confianza,Gatito,NoQuique,Paso
19/11/2025,Confianza,Gatito,Quique,Paso
26/11/2025,Confianza,Joya,NoQuique,Paso
25/11/2025,Confianza,Gatito,NoQuique,Paso
27/11/2025,Confianza,Gatito,NoQuique,Paso
07/12/2025,Confianza,Joya,NoQuique,Fallo
26/11/2025,Confianza,Gatito,NoQuique,Paso
13/12/2025,Confianza,Joya,Quique,Paso
01/12/2025,Confianza,Gatito,NoQuique,Paso
12/12/2025,Confianza,Gatito,NoQuique,Fallo
22/11/2025,Confianza,Joya,Quique,Paso
06/12/2025,Confianza,Joya,Quique,Paso
17/11/2025,Confianza,Joya,Quique,Paso
09/12/2025,Confianza,Gatito,NoQuique,Fallo
06/12/2025,Confianza,Joya,NoQuique,Paso
24/11/2025,Confianza,Gatito,Quique,Paso
19/11/2025,Confianza,Joya,Quique,Fallo
08/12/2025,Confianza,Gatito,Quique,Paso
21/11/2025,Confianza,Joya,Quique,Paso
22/11/2025,Confianza,Joya,NoQuique,Paso
17/11/2025,Confianza,Gatito,NoQuique,Paso
17/11/2025,Confianza,Gatito,NoQuique,Fallo
21/11/2025,Confianza,Joya,NoQuique,Paso
12/12/2025,Confianza,Gatito,Quique,Paso
09/12/2025,Confianza,Gatito,NoQuique,Paso
05/12/2025,Confianza,Gatito,NoQuique,Fallo
30/11/2025,Confianza,Gatito,Quique,Paso
07/12/2025,Confianza,Gatito,Quique,Paso
21/11/2025,Confianza,Gatito,NoQuique,Paso
11/12/2025,Confianza,Gatito,Quique,Paso
07/12/2025,Confianza,Gatito,Quique,Paso
01/12/2025,Confianza,Joya,NoQuique,Fallo
24/11/2025,Confianza,Joya,Quique,Paso
17/11/2025,Confianza,Joya,NoQuique,Fallo
18/11/2025,Confianza,Joya,NoQuique,Paso
03/12/2025,Confianza,Gatito,NoQuique,Paso
08/12/2025,Confianza,Joya,NoQuique,Paso
19/11/2025,Confianza,Gatito,Quique,Paso
26/11/2025,Confianza,Gatito,Quique,Paso
20/11/2025,Confianza,Joya,Quique,Paso
22/11/2025,Confianza,Joya,Quique,Fallo
19/11/2025,Confianza,Joya,Quique,Paso
05/12/2025,Confianza,Gatito,Quique,Fallo
08/12/2025,Confianza,Joya,NoQuique,Paso
13/12/2025,Confianza,Joya,Quique,Paso
28/11/2025,Confianza,Gatito,NoQuique,Fallo
20/11/2025,Confianza,Gatito,NoQuique,Paso
11/12/2025,Confianza,Joya,Quique,Paso
15/12/2025,Confianza,Joya,NoQuique,Fallo
13/12/2025,Confianza,Gatito,Quique,Fallo
20/11/2025,Confianza,Joya,Quique,Fallo
16/11/2025,Confianza,Gatito,Quique,Fallo
19/11/2025,Confianza,Joya,NoQuique,Paso
25/11/2025,Confianza,Joya,NoQuique,Paso
